target,category,keep
0,dog,true
1,rooster,true
2,pig,true
3,cow,true
4,frog,true
5,cat,true
6,hen,true
7,insects,true
8,sheep,true
9,crow,true
10,rain,true
11,sea_waves,true
12,crackling_fire,true
13,crickets,true
14,chirping_birds,true
15,water_drops,true
16,wind,true
17,pouring_water,true
18,toilet_flush,true
19,thunderstorm,true
20,crying_baby,true
21,sneezing,true
22,clapping,true
23,breathing,true
24,coughing,true
25,footsteps,true
26,laughing,true
27,brushing_teeth,true
28,snoring,true
29,drinking_sipping,true
30,door_wood_knock,true
31,mouse_click,true
32,keyboard_typing,true
33,door_wood_creaks,true
34,can_opening,true
35,washing_machine,true
36,vacuum_cleaner,true
37,clock_alarm,true
38,clock_tick,true
39,glass_breaking,true
40,helicopter,true
41,chainsaw,true
42,siren,true
43,car_horn,true
44,engine,true
45,train,true
46,church_bells,true
47,airplane,true
48,fireworks,true
49,hand_saw,true
